distrito,homicidios_per100k,violencia_mulher_per10k,violencia_racial_per10k,idade_media_morte,mortalidade_infantil_per1k,mortalidade_materna_per100k,espera_consulta_basica_dias,incidencia_dengue_per100k,mortalidade_respiratoria_per100k,emissao_poluentes_kg_km2_dia,favelas_pct_domicilios,gravidez_adolescencia_pct
Alto de Pinheiros,2.4,206.5693,1.9652,82.0,3.759,0.0,,156.7,101.9926,0.1525,0.0,0.0
Anhanguera,13.0,187.013,0.5813,58.0,17.084,110.0917,14.0,218.8,34.9583,0.0651,3.6795,7.859
Aricanduva,1.2,243.3882,1.1662,71.0,13.115,35.5872,27.0,79.5,143.8546,0.3996,1.0574,6.557
Artur Alvim,4.0,286.3571,1.1995,70.0,7.786,0.0,28.0,137.1,119.9657,0.5923,7.3036,7.008
Barra Funda,6.2,455.1814,18.3576,73.0,8.982,0.0,,297.5,136.8396,0.6737,1.0442,1.796
Bela Vista,1.4,476.0585,5.1823,72.0,17.682,0.0,29.0,91.1,76.1822,0.8632,0.0,5.108
Belém,4.1,306.9643,3.2366,70.0,5.841,0.0,18.0,132.3,126.3133,0.5271,3.7276,7.36
Bom Retiro,5.1,443.724,2.2958,70.0,4.454,0.0,28.0,90.3,87.8161,0.2478,0.0,10.022
Brasilândia,8.9,279.1991,0.9166,64.0,10.201,65.4511,18.0,124.4,79.7818,0.2435,24.7105,10.591
Brás,15.1,631.4433,6.6094,61.0,16.367,113.2503,18.0,136.2,85.875,0.5942,0.1776,5.074
Butantã,3.7,345.1184,0.4551,79.0,2.058,0.0,22.0,162.8,127.2836,0.3736,1.3084,3.292
Cachoeirinha,6.8,269.1309,1.0894,66.0,8.719,17.4825,26.0,178.6,94.7091,0.245,20.426,10.191
Cambuci,0.0,274.5913,2.2036,73.0,8.621,0.0,,99.5,101.964,0.3397,0.0,4.31
Campo Belo,3.1,258.4398,2.5213,79.0,1.597,50.9424,24.0,101.8,124.0182,0.4486,9.9716,3.994
Campo Grande,3.7,234.6799,1.962,73.0,11.136,35.2983,39.0,105.0,95.6707,0.4323,3.6941,3.563
Campo Limpo,7.4,213.5123,0.3598,64.0,13.683,70.6547,5.0,89.2,58.3548,0.3675,21.4216,6.953
Cangaíba,6.5,254.9029,0.94,69.0,9.169,56.1693,23.0,202.7,106.0208,0.2067,10.6789,7.393
Capão Redondo,10.1,232.569,0.7702,63.0,11.848,61.3622,7.0,66.0,59.0541,0.4895,20.767,8.101
Carrão,5.9,224.3169,1.06,76.0,10.511,0.0,30.0,71.9,152.0276,0.3563,2.4996,4.955
Casa Verde,1.2,320.8423,2.9083,73.0,7.762,0.0,23.0,187.5,108.302,0.3233,0.1214,6.468
Cidade Ademar,7.4,219.7134,0.5338,65.0,9.639,40.0,24.0,66.2,78.5819,0.4514,14.5726,7.991
Cidade Dutra,3.4,234.9832,1.2267,68.0,10.516,79.277,16.0,49.7,78.4945,0.2545,8.6429,7.812
Cidade Líder,3.7,266.0305,1.9128,67.0,12.162,41.1015,39.0,105.6,86.686,0.3486,7.4672,7.5
Cidade Tiradentes,8.1,247.4768,0.8828,60.0,14.158,33.9597,19.0,68.5,58.9915,0.3215,4.0135,10.879
Consolação,1.7,362.122,5.0614,79.0,3.067,0.0,,87.6,106.875,0.4416,0.0,1.534
Cursino,2.6,226.9741,1.141,72.0,10.537,0.0,19.0,84.8,108.4532,0.1604,6.3186,6.744
Ermelino Matarazzo,5.9,246.492,0.9105,67.0,10.431,67.9502,17.0,226.1,94.2672,0.2411,8.4976,7.719
Freguesia do Ó,3.6,285.2607,1.8575,71.0,16.155,51.7331,14.0,188.9,123.0893,0.362,4.0194,6.785
Grajaú,5.9,221.4571,0.7384,62.0,12.018,68.8447,12.0,37.2,63.8127,0.0691,15.2248,9.479
Guaianases,10.9,326.103,0.6993,61.0,28.056,44.7928,17.0,156.8,82.4166,0.3821,2.8818,10.02
Iguatemi,5.3,224.1549,1.1214,60.0,18.218,47.1846,25.0,49.6,66.3002,0.1841,6.9832,10.734
Ipiranga,0.0,230.2818,0.4886,74.0,7.175,29.6736,31.0,115.8,106.0464,0.3332,3.2253,5.291
Itaim Bibi,1.0,282.9101,4.0105,79.0,1.781,0.0,15.0,137.8,71.9646,0.5706,0.7455,0.356
Itaim Paulista,5.5,262.8317,0.5381,65.0,11.074,47.2367,20.0,120.3,69.6081,0.3057,6.1757,9.302
Itaquera,6.1,317.7615,0.8788,66.0,12.486,48.9536,33.0,244.0,94.5994,0.6765,5.9641,8.854
Jabaquara,6.1,225.886,1.6109,71.0,11.927,14.8965,19.0,44.7,79.8788,0.4037,16.0481,7.11
Jaguara,4.2,332.5089,0.8373,76.0,0.0,0.0,14.0,589.3,101.0144,0.1909,2.6642,5.532
Jaguaré,3.6,182.5323,1.62,72.0,7.485,50.3271,19.0,81.7,62.1758,0.1518,8.048,5.838
Jaraguá,5.2,214.5087,1.1173,64.0,12.821,38.4172,17.0,93.7,70.8429,0.1683,13.3818,8.236
Jardim Helena,4.4,228.0662,1.0291,64.0,11.853,34.7162,25.0,71.6,86.1767,0.1348,12.1693,10.183
Jardim Paulista,1.1,260.6732,3.3122,81.0,5.594,0.0,,114.1,118.5215,0.5981,0.0,0.559
Jardim São Luís,3.7,227.1893,0.9807,65.0,13.542,32.2858,8.0,53.4,55.0231,0.3151,20.2745,8.542
Jardim Ângela,8.9,213.1245,0.7897,61.0,10.117,58.2454,6.0,0.0,45.245,0.2105,19.0029,10.701
Jaçanã,8.3,238.7693,0.8318,69.0,12.695,65.3168,21.0,220.9,88.1633,0.1953,7.2036,10.547
